sym	name	type	EnsemblID	EntrezGeneID	OMIMID	RefSeqID	UniProtID	UCSCID	start	end	strand	GO_C	GO_F	GO_P	HPAclass	HPAlocation	HPAprognostic	HPAcancerCat	HPAtissueCat	HPAspecificExpr	HPAnonSpecificExpr
ADIG	adipogenin	protein	ENSG00000182035	149685	611396	NM_001018082	Q0VDE8	uc002xjb.1	38581195	38588463	1	GO:0005811	NA	GO:0030154	Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins	NA	NA	Tissue enhanced	Group enriched	epididymis: 5.1;testis: 16.1;thyroid gland: 3.4	seminal vesicle: 0.8
ADNP	activity dependent neuroprotector homeobox	protein	ENSG00000101126	23394	611386	NM_001282531	Q9H2P0	uc002xvt.3	50888919	50931240	-1	GO:0005615	GO:0008092	GO:0050877	Cancer-related genes, Disease related genes, Predicted intracellular proteins, Transcription factors	Nucleoplasm	Liver cancer:1.65e-5 (unfavourable)	Expressed in all	Expressed in all	NA	parathyroid gland: 81.7
ADRA1D	adrenoceptor alpha 1D	protein	ENSG00000171873	146	104219	NM_000678	P25100	uc002wkr.3	4220631	4249074	-1	GO:0005622	GO:0004871	GO:0003013	FDA approved drug targets, G-protein coupled receptors, Plasma proteins, Predicted membrane proteins	NA	NA	Mixed	Tissue enhanced	cervix, uterine: 4.3;prostate: 4.5	seminal vesicle: 2.6
ADRM1	adhesion regulating molecule 1	protein	ENSG00000130706	11047	610650	NM_001281437	Q16186	uc002ycn.5	62302093	62308862	1	GO:0005654	GO:0032182	GO:0065003	Predicted intracellular proteins	Nucleoplasm<br>Plasma membrane<br>Cytosol	Renal cancer:9.02e-6 (unfavourable)	Expressed in all	Expressed in all	NA	testis: 108.5
AHCY	adenosylhomocysteinase	protein	ENSG00000101444	191	180960	NM_000687	P23526	uc002xai.4	34280268	34311802	-1	GO:0031410	GO:0003674	GO:0006520	Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins	Cytosol	NA	Expressed in all	Expressed in all	NA	kidney: 159.4
ANGPT4	angiopoietin 4	protein	ENSG00000101280	51378	603705	NM_001322809	Q9Y264	uc002wei.4	869899	916317	-1	GO:0005615	GO:0030234	GO:0008283	Predicted secreted proteins, RAS pathway related proteins	NA	NA	Not detected	Tissue enhanced	cervix, uterine: 5.4	adipose tissue: 2.7
ANKEF1	ankyrin repeat and EF-hand domain containing 1	protein	ENSG00000132623	63926	NA	NM_001303472	Q9NU02	uc002wnp.4	9986126	10058303	1	NA	GO:0043167	NA	Predicted intracellular proteins	Nucleoli fibrillar center<br>Plasma membrane<br>Cytosol	Thyroid cancer:1.58e-4 (unfavourable), Lung cancer:1.81e-4 (unfavourable), Renal cancer:4.44e-4 (favourable)	Mixed	Tissue enhanced	testis: 33.7	thyroid gland: 11.3
ANKRD60	ankyrin repeat domain 60	protein	ENSG00000124227	140731	NA	NM_001304369	Q9BZ19	uc061xzo.1	58218495	58228653	-1	NA	NA	NA	Predicted secreted proteins	NA	NA	Not detected	Tissue enriched	testis: 4.7	all non-specific tissues: 0.0
AP5S1	adaptor related protein complex 5 sigma 1 subunit	protein	ENSG00000125843	55317	614824	NM_001204446	Q9NUS5	uc002wju.3	3820524	3828837	1	GO:0005764	GO:0003674	GO:0006259	Predicted intracellular proteins, Predicted membrane proteins	Nucleoplasm<br>Cytosol	Renal cancer:5.53e-5 (favourable)	Expressed in all	Expressed in all	NA	testis: 12.4
APCDD1L	APC down-regulated 1 like	protein	ENSG00000198768	164284	NA	NM_001304787	Q8NCL9	uc002xze.2	58459101	58515131	-1	GO:0005575	NA	NA	Predicted intracellular proteins, Predicted membrane proteins	Mitochondria	NA	Mixed	Tissue enhanced	breast: 6.5;salivary gland: 11.6	kidney: 2.9
APMAP	adipocyte plasma membrane associated protein	protein	ENSG00000101474	57136	615884	NM_020531	Q9HDC9	uc002wty.4	24962925	24992979	-1	GO:0005783	GO:0016829	GO:0009058	Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins	Plasma membrane	NA	Expressed in all	Expressed in all	NA	thyroid gland: 323.5
ARFGAP1	ADP ribosylation factor GTPase activating protein 1	protein	ENSG00000101199	55738	608377	NM_001281482	Q8N6T3	uc002yel.5	63272785	63289793	1	GO:0005794	GO:0030234	GO:0016192	Plasma proteins, Predicted intracellular proteins	Nuclear membrane<br>Golgi apparatus<br>Vesicles	Renal cancer:3.48e-7 (unfavourable), Pancreatic cancer:4.57e-4 (favourable)	Expressed in all	Expressed in all	NA	testis: 32.2
ARFGEF2	ADP ribosylation factor guanine nucleotide exchange factor 2	protein	ENSG00000124198	10564	605371	NM_006420	Q9Y6D5	uc002xtx.5	48921890	49036693	1	GO:0005768	GO:0008092	GO:0016192	Disease related genes, Predicted intracellular proteins	Golgi apparatus	Renal cancer:6.15e-7 (favourable)	Expressed in all	Expressed in all	NA	parathyroid gland: 174.4
ARFRP1	ADP ribosylation factor related protein 1	protein	ENSG00000101246	10139	604699	NM_001134758	Q13795	uc032ppj.2	63698642	63708025	-1	GO:0005794	GO:0003924	GO:0016192	Predicted intracellular proteins	Golgi apparatus	NA	Expressed in all	Expressed in all	NA	spleen: 27.9
ARHGAP40	Rho GTPase activating protein 40	protein	ENSG00000124143	343578	NA	NM_001164431	Q5TG30	uc061wyy.1	38601934	38651035	1	GO:0005829	GO:0030234	GO:0007165	Predicted intracellular proteins	Nucleoplasm<br>Plasma membrane<br>Centrosome<br>Cytosol	Renal cancer:2.89e-4 (unfavourable)	Mixed	Group enriched	breast: 38.1;epididymis: 43.7;esophagus: 12.6;seminal vesicle: 11.3;skin: 53.8	prostate: 4.4
ASIP	agouti signaling protein	protein	ENSG00000101440	434	600201	NM_001672	P42127	uc061wig.1	34194569	34269344	1	GO:0005622	GO:0003674	GO:0019748	Predicted secreted proteins	Vesicles	NA	Mixed	Group enriched	epididymis: 18.1;ovary: 7.4;skin: 5.7	breast: 2.0
ASXL1	additional sex combs like 1, transcriptional regulator	protein	ENSG00000171456	171023	612990	NM_001164603	Q8IXJ9	uc061wej.1	32358344	32439319	1	GO:0005654	GO:0008134	GO:0000902	Cancer-related genes, Disease related genes, Predicted intracellular proteins	Nucleus<br>Nucleoli	Endometrial cancer:2.86e-4 (unfavourable), Head and neck cancer:9.16e-4 (favourable)	Expressed in all	Expressed in all	NA	testis: 68.5
ATP5F1E	ATP synthase F1 subunit epsilon	protein	ENSG00000124172	514	606153	NM_006886	P56381	uc002yal.4	59025467	59032382	-1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ATP9A	ATPase phospholipid transporting 9A (putative)	protein	ENSG00000054793	10079	609126	NM_006045	O75110	uc002xwg.2	51596514	51768634	-1	GO:0005768	GO:0016887	GO:0061024	Enzymes, Predicted membrane proteins, Transporters	NA	Renal cancer:5.67e-5 (favourable)	Expressed in all	Expressed in all	NA	cerebral cortex: 155.8
ATRN	attractin	protein	ENSG00000088812	8455	603130	NM_001207047	O75882	uc002wim.3	3471040	3651122	1	GO:0005615	GO:0003674	GO:0043473	Plasma proteins, Predicted membrane proteins	Cytosol	Renal cancer:2.19e-6 (favourable)	Expressed in all	Expressed in all	NA	parathyroid gland: 84.8
AURKA	aurora kinase A	protein	ENSG00000087586	6790	603072	NM_001323303	O14965	uc002xxg.2	56369389	56392337	-1	GO:0005929	GO:0016301	GO:0000278	Cancer-related genes, Enzymes, Plasma proteins, Predicted intracellular proteins	Nucleus<br>Centrosome<br>Cytosol	Renal cancer:1.47e-8 (unfavourable), Endometrial cancer:9.40e-5 (unfavourable), Liver cancer:1.49e-4 (unfavourable), Pancreatic cancer:6.13e-4 (unfavourable)	Expressed in all	Tissue enhanced	testis: 53.5	lymph node: 24.0
AVP	arginine vasopressin	protein	ENSG00000101200	551	192340	NM_000490	P01185	uc002whu.3	3082556	3084724	-1	GO:0005576	GO:0016301	GO:0003013	Disease related genes, Predicted secreted proteins	NA	NA	Not detected	Not detected	NA	bone marrow,testis: 0.5
B4GALT5	beta-1,4-galactosyltransferase 5	protein	ENSG00000158470	9334	604016	NM_004776	O43286	uc002xuu.5	49632945	49713878	-1	GO:0043226	GO:0016757	GO:0006790	Predicted secreted proteins	NA	Pancreatic cancer:1.87e-5 (unfavourable), Liver cancer:2.69e-5 (unfavourable)	Expressed in all	Expressed in all	NA	bone marrow: 59.8
BANF2	barrier to autointegration factor 2	protein	ENSG00000125888	140836	NA	NM_001014977	Q9H503	uc002wqa.3	17693672	17735871	1	GO:0005737	GO:0003677	NA	Predicted intracellular proteins	NA	NA	Not detected	Tissue enriched	testis: 125.1	pancreas: 4.3
BCAS1	breast carcinoma amplified sequence 1	protein	ENSG00000064787	8537	602968	NM_001316361	O75363	uc002xws.3	53936777	54070594	-1	GO:0005737	NA	NA	Predicted intracellular proteins	Vesicles	NA	Mixed	Tissue enhanced	cerebral cortex: 108.7;stomach: 155.8	rectum: 80.7
BCAS4	breast carcinoma amplified sequence 4	protein	ENSG00000124243	55653	607471	NM_001010974	Q8TDM0	uc002xvr.5	50794894	50882676	1	GO:0032991	NA	GO:0006810	Disease related genes, Predicted intracellular proteins	Intermediate filaments<br>Cytosol	Endometrial cancer:4.87e-4 (unfavourable)	Expressed in all	Tissue enhanced	lymph node: 25.3	tonsil: 21.0
BCL2L1	BCL2 like 1	protein	ENSG00000171552	598	600039	NM_001191	Q07817	uc002wwl.4	31664452	31723989	-1	GO:0005815	GO:0019899	GO:0009790	Cancer-related genes, Predicted intracellular proteins, Predicted membrane proteins, RAS pathway related proteins, Transporters	Mitochondria	Renal cancer:8.89e-5 (favourable), Pancreatic cancer:5.87e-4 (unfavourable), Endometrial cancer:9.10e-4 (unfavourable), Melanoma:9.57e-4 (favourable)	Expressed in all	Expressed in all	NA	gallbladder: 100.5
BFSP1	beaded filament structural protein 1	protein	ENSG00000125864	631	603307	NM_001161705	Q12934	uc002wpo.4	17493905	17569220	-1	GO:0005737	GO:0005198	GO:0021700	Disease related genes, Predicted intracellular proteins	Plasma membrane<br>Cytosol	Endometrial cancer:1.39e-4 (favourable)	Mixed	Mixed	NA	testis: 6.5
BHLHE23	basic helix-loop-helix family member e23	protein	ENSG00000125533	128408	609331	NM_080606	Q8NDY6	uc002yeb.4	63005927	63007035	-1	GO:0005634	GO:0003677	GO:0048856	Predicted intracellular proteins, Transcription factors	NA	NA	Tissue enriched	Not detected	NA	testis: 0.1
BIRC7	baculoviral IAP repeat containing 7	protein	ENSG00000101197	79444	605737	NM_022161	Q96CA5	uc002yej.4	63235883	63240507	1	GO:0005815	GO:0030234	GO:0007010	Enzymes, Predicted intracellular proteins	Nucleus<br>Microtubule organizing center<br>Cytosol	NA	Tissue enriched	Tissue enhanced	placenta: 9.2	skin: 2.7
BLCAP	bladder cancer associated protein	protein	ENSG00000166619	10904	613110	NM_001167820	P62952	uc002xhc.3	37492472	37527931	-1	GO:0005575	GO:0003674	GO:0007049	Predicted intracellular proteins	Nucleoli	Urothelial cancer:7.28e-5 (favourable), Endometrial cancer:1.40e-4 (unfavourable)	Expressed in all	Expressed in all	NA	fallopian tube: 224.4
BMP2	bone morphogenetic protein 2	protein	ENSG00000125845	650	112261	NM_001200	P12643	uc002wmu.2	6767664	6780280	1	GO:0005615	GO:0016491	GO:0009790	Cancer-related genes, Predicted secreted proteins	Vesicles	NA	Expressed in all	Mixed	NA	thyroid gland: 31.2
BMP7	bone morphogenetic protein 7	protein	ENSG00000101144	655	112267	NM_001719	P18075	uc010gip.2	57168748	57266629	-1	GO:0005615	GO:0043167	GO:0008283	Predicted intracellular proteins, Predicted secreted proteins	Nucleus<br>Nucleoli<br>Vesicles	Endometrial cancer:2.91e-4 (unfavourable)	Mixed	Tissue enhanced	thyroid gland: 76.7	placenta: 36.8
BPI	bactericidal permeability increasing protein	protein	ENSG00000101425	671	109195	NM_001725	P17213	uc002xib.3	38260149	38337505	1	GO:0005576	GO:0008289	GO:0016192	Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins, Transporters	NA	NA	Not detected	Tissue enriched	bone marrow: 961.6	testis: 25.9
BPIFA1	BPI fold containing family A member 1	protein	ENSG00000198183	51297	607412	NM_001243193	Q9NP55	uc002wyu.5	33235995	33243311	1	GO:0005615	GO:0008289	GO:0042592	Plasma proteins, Predicted secreted proteins	NA	NA	Tissue enriched	Group enriched	cervix, uterine: 9.8;lung: 26.5	urinary bladder: 2.2
BPIFA2	BPI fold containing family A member 2	protein	ENSG00000131050	140683	NA	NM_001319164	Q96DR5	uc061wfu.1	33161768	33181412	1	GO:0005576	GO:0008289	GO:0002376	Predicted secreted proteins	NA	NA	Tissue enhanced	Tissue enriched	salivary gland: 2662.8	epididymis: 5.1
BPIFA3	BPI fold containing family A member 3	protein	ENSG00000131059	128861	NA	NM_001042439	Q9BQP9	uc002wyr.5	33217310	33227758	1	GO:0005576	GO:0008289	NA	Predicted secreted proteins	NA	NA	Not detected	Tissue enriched	testis: 53.4	all non-specific tissues: 0.0
BPIFB1	BPI fold containing family B member 1	protein	ENSG00000125999	92747	NA	NM_033197	Q8TDL5	uc002wyw.1	33273480	33309878	1	GO:0005576	GO:0008289	GO:0002376	Plasma proteins, Predicted secreted proteins	NA	NA	Tissue enhanced	Tissue enhanced	cervix, uterine: 839.4;stomach: 443.3	lung: 157.3
BPIFB2	BPI fold containing family B member 2	protein	ENSG00000078898	80341	614108	NM_025227	Q8N4F0	uc002wyj.5	33007600	33023709	1	GO:0005576	GO:0008289	GO:0002376	Plasma proteins, Predicted secreted proteins, Transporters	Vesicles	Endometrial cancer:1.97e-5 (favourable)	Group enriched	Group enriched	esophagus: 98.5;salivary gland: 90.5	cervix, uterine: 4.0
BPIFB3	BPI fold containing family B member 3	protein	ENSG00000186190	359710	615717	NM_182658	P59826	uc002wym.1	33055424	33073628	1	GO:0005576	GO:0008289	GO:0002376	Plasma proteins, Predicted secreted proteins	NA	NA	Tissue enriched	Tissue enhanced	testis: 1.0	salivary gland: 0.2
BPIFB4	BPI fold containing family B member 4	protein	ENSG00000186191	149954	615718	NM_182519	P59827	uc010zue.3	33079644	33111751	1	GO:0005576	GO:0008289	NA	Predicted secreted proteins	NA	NA	Mixed	Tissue enhanced	parathyroid gland: 1.3	testis: 0.7
BPIFB6	BPI fold containing family B member 6	protein	ENSG00000167104	128859	614110	NM_174897	Q8NFQ5	uc010zuc.2	33031648	33044047	1	GO:0005576	GO:0008289	NA	Predicted secreted proteins	NA	NA	Not detected	Not detected	NA	all non-specific tissues: 0.0
BTBD3	BTB domain containing 3	protein	ENSG00000132640	22903	615566	NM_001282550	Q9Y2F9	uc002wny.5	11890723	11926609	1	GO:0032991	GO:0019899	GO:0009056	Predicted intracellular proteins	Vesicles	Liver cancer:2.51e-5 (unfavourable), Lung cancer:6.94e-4 (unfavourable)	Expressed in all	Expressed in all	NA	placenta: 60.1
C20orf27	chromosome 20 open reading frame 27	protein	ENSG00000101220	54976	NA	NM_001039140	Q9GZN8	uc002wji.3	3753508	3768387	-1	GO:0005575	GO:0003674	GO:0008150	Predicted intracellular proteins	Nucleoplasm<br>Cytosol	Renal cancer:6.18e-6 (unfavourable), Liver cancer:1.69e-5 (unfavourable)	Expressed in all	Expressed in all	NA	bone marrow: 56.5
C20orf85	chromosome 20 open reading frame 85	protein	ENSG00000124237	128602	NA	NM_178456	Q9H1P6	uc002xyv.4	58150904	58161150	1	NA	NA	NA	Predicted intracellular proteins	NA	NA	Tissue enhanced	Tissue enriched	fallopian tube: 729.1	testis: 91.7
C20orf96	chromosome 20 open reading frame 96	protein	ENSG00000196476	140680	NA	NM_080571	Q9NUD7	uc002wde.3	270863	290778	-1	NA	NA	NA	Predicted intracellular proteins	Nucleus<br>Golgi apparatus	Pancreatic cancer:4.12e-5 (favourable), Liver cancer:6.12e-5 (unfavourable), Urothelial cancer:1.05e-4 (favourable)	Expressed in all	Expressed in all	NA	fallopian tube: 53.5
C20orf141	chromosome 20 open reading frame 141	protein	ENSG00000258713	128653	NA	NM_001256538	Q9NUB4	uc002wgw.4	2814987	2815833	1	GO:0005575	NA	NA	Predicted membrane proteins	NA	NA	Not detected	Tissue enriched	testis: 97.0	placenta: 0.9
C20orf144	chromosome 20 open reading frame 144	protein	ENSG00000149609	128864	NA	NM_080825	Q9BQM9	uc002wzs.3	33662284	33665619	1	NA	NA	NA	Predicted intracellular proteins	NA	NA	Not detected	Tissue enriched	testis: 43.4	all non-specific tissues: 0.0
C20orf173	chromosome 20 open reading frame 173	protein	ENSG00000125975	140873	NA	NM_001145350	Q96LM9	uc061wmz.1	35523186	35529652	-1	GO:0005575	GO:0016757	GO:0005975	Predicted intracellular proteins	NA	NA	Not detected	Tissue enriched	testis: 34.3	skin: 0.2
C20orf194	chromosome 20 open reading frame 194	protein	ENSG00000088854	25943	614146	NM_001009984	Q5TEA3	uc002wii.4	3249305	3407625	-1	GO:0005575	GO:0003674	GO:0008150	Predicted intracellular proteins	Nucleoli fibrillar center<br>Cytosol	Pancreatic cancer:1.68e-4 (favourable), Renal cancer:7.68e-4 (favourable)	Expressed in all	Expressed in all	NA	cerebral cortex: 26.4
C20orf196	chromosome 20 open reading frame 196	protein	ENSG00000171984	149840	NA	NM_001303477	Q8IYI0	uc002wmf.4	5750393	5863912	1	NA	NA	NA	Predicted intracellular proteins	Endoplasmic reticulum<br>Golgi apparatus<br>Vesicles	Urothelial cancer:4.05e-5 (favourable)	Expressed in all	Mixed	NA	lymph node: 18.6
C20orf202	chromosome 20 open reading frame 202	protein	ENSG00000215595	400831	NA	NM_001009612	A1L168	uc002wer.4	1203454	1208274	1	NA	NA	NA	Predicted intracellular proteins	NA	NA	Mixed	Tissue enhanced	placenta: 4.9	lung: 1.9
C20orf203	chromosome 20 open reading frame 203	protein	ENSG00000198547	284805	NA	NM_182584	Q8NBC4	uc002wxz.4	32631652	32673941	-1	GO:0005737	NA	NA	NA	NA	NA	NA	NA	NA	NA
C20orf204	chromosome 20 open reading frame 204	protein	ENSG00000196421	284739	NA	NA	Q6ZNR8	uc002yhq.4	64034344	64039962	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CABLES2	Cdk5 and Abl enzyme substrate 2	protein	ENSG00000149679	81928	NA	NM_031215	Q9BTV7	uc002ycv.3	62388632	62407285	-1	NA	NA	GO:0051301	Predicted intracellular proteins, Predicted membrane proteins	Nuclear bodies<br>Cell Junctions	Renal cancer:1.24e-6 (unfavourable), Endometrial cancer:5.26e-5 (unfavourable)	Expressed in all	Tissue enriched	testis: 58.3	cerebral cortex: 9.0
CASS4	Cas scaffold protein family member 4	protein	ENSG00000087589	57091	NA	NM_001164114	Q9NQ75	uc002xxp.3	56412112	56460387	1	GO:0005856	NA	GO:0007155	Plasma proteins, Predicted intracellular proteins	NA	NA	Mixed	Tissue enhanced	appendix: 17.7;lung: 23.9	spleen: 10.7
CBFA2T2	CBFA2/RUNX1 translocation partner 2	protein	ENSG00000078699	9139	603672	NM_001032999	O43439	uc002wze.2	33490075	33650036	1	GO:0005634	GO:0000988	GO:0030154	Disease related genes, Predicted intracellular proteins	Nuclear speckles	Pancreatic cancer:6.93e-6 (favourable)	Expressed in all	Expressed in all	NA	prostate: 24.2
CBLN4	cerebellin 4 precursor	protein	ENSG00000054803	140689	615029	NM_080617	Q9NTU7	uc002xxa.5	55997440	56005472	-1	GO:0005615	NA	GO:0006810	Plasma proteins, Predicted secreted proteins	Midbody ring	NA	Mixed	Tissue enhanced	adrenal gland: 24.5;cerebral cortex: 15.6;epididymis: 11.2	fallopian tube: 6.8
CCM2L	CCM2 like scaffold protein	protein	ENSG00000101331	140706	NA	NM_080625	Q9NUG4	uc002wxf.3	32010450	32032180	1	GO:0005575	GO:0003674	GO:0040007	Plasma proteins, Predicted intracellular proteins	Nucleoplasm	NA	Expressed in all	Tissue enriched	spleen: 122.6	placenta: 15.0
CD40	CD40 molecule	protein	ENSG00000101017	958	109535	NM_001250	P25942	uc002xrg.2	46118272	46129863	1	GO:0005737	GO:0004871	GO:0008283	Cancer-related genes, CD markers, Disease related genes, Predicted membrane proteins, Predicted secreted proteins	NA	Renal cancer:4.48e-4 (unfavourable)	Expressed in all	Expressed in all	NA	lymph node: 64.7
CD93	CD93 molecule	protein	ENSG00000125810	22918	120577	NM_012072	Q9NPY3	uc002wsv.4	23079349	23086340	-1	GO:0005886	GO:0043167	GO:0044403	CD markers, Plasma proteins, Predicted membrane proteins	Vesicles<br>Plasma membrane	Renal cancer:2.74e-4 (unfavourable)	Expressed in all	Expressed in all	NA	placenta: 197.1
CDC25B	cell division cycle 25B	protein	ENSG00000101224	994	116949	NM_001287516	P30305	uc002wjn.5	3786772	3806121	1	GO:0005815	GO:0016791	GO:0000278	Cancer-related genes, Enzymes, Plasma proteins, Predicted intracellular proteins	Vesicles<br>Mitotic spindle	Renal cancer:2.94e-13 (unfavourable), Liver cancer:1.19e-4 (unfavourable), Endometrial cancer:4.76e-4 (unfavourable)	Expressed in all	Mixed	NA	lymph node: 56.6
CDH4	cadherin 4	protein	ENSG00000179242	1002	603006	NM_001252338	P55283	uc032pok.1	61252426	61940617	1	GO:0005886	GO:0043167	GO:0034330	Predicted membrane proteins	Plasma membrane	NA	Group enriched	Tissue enhanced	cerebral cortex: 6.0;spleen: 4.8	seminal vesicle: 1.3
CDH22	cadherin 22	protein	ENSG00000149654	64405	609920	NM_021248	Q9UJ99	uc010ghk.3	46173733	46308498	-1	GO:0005886	GO:0043167	GO:0007155	Predicted membrane proteins	NA	NA	Mixed	Group enriched	adrenal gland: 2.0;cerebral cortex: 10.2;fallopian tube: 2.3;skin: 5.1	prostate,seminal vesicle,testis: 0.7
CDH26	cadherin 26	protein	ENSG00000124215	60437	617685	NM_021810	Q8IXH8	uc002ybe.4	59958427	60034011	1	GO:0005886	GO:0043167	GO:0007155	Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins	Plasma membrane<br>Microtubules	Lung cancer:3.75e-4 (favourable), Cervical cancer:7.62e-4 (favourable)	Group enriched	Tissue enhanced	prostate: 19.1	urinary bladder: 6.1
CDK5RAP1	CDK5 regulatory subunit associated protein 1	protein	ENSG00000101391	51654	608200	NM_001278167	Q96SZ6	uc002wyz.5	33358839	33401561	-1	GO:0005739	GO:0019899	GO:0006399	Predicted intracellular proteins	Nuclear speckles<br>Mitochondria	Prostate cancer:8.07e-4 (unfavourable)	Expressed in all	Expressed in all	NA	thyroid gland: 19.4
CDS2	CDP-diacylglycerol synthase 2	protein	ENSG00000101290	8760	603549	NM_003818	O95674	uc002wls.4	5126786	5197887	1	GO:0005575	GO:0016779	GO:0006629	Enzymes, Plasma proteins, Predicted membrane proteins	Endoplasmic reticulum<br>Cytosol	Renal cancer:3.53e-9 (favourable)	Expressed in all	Expressed in all	NA	cerebral cortex: 48.9
CEBPB	CCAAT enhancer binding protein beta	protein	ENSG00000172216	1051	189965	NM_001285878	P17676	uc002xvi.4	50190734	50192689	1	GO:0005654	GO:0008134	GO:0008283	Predicted intracellular proteins, Transcription factors	Nucleoplasm	Renal cancer:2.44e-12 (unfavourable)	Expressed in all	Expressed in all	NA	adrenal gland: 112.4
CENPB	centromere protein B	protein	ENSG00000125817	1059	117140	NM_001810	P07199	uc002wjk.3	3783851	3786690	-1	GO:0005694	GO:0003677	NA	Predicted intracellular proteins	Nuclear bodies	Liver cancer:6.09e-4 (unfavourable)	Expressed in all	Expressed in all	NA	skin: 43.4
CEP250	centrosomal protein 250	protein	ENSG00000126001	11190	609689	NM_001318219	Q9BV73	uc032pib.2	35455164	35519280	1	GO:0005929	GO:0019899	GO:0000278	Plasma proteins, Predicted intracellular proteins	Centrosome	Liver cancer:1.77e-7 (unfavourable), Renal cancer:1.97e-6 (unfavourable), Pancreatic cancer:9.27e-6 (favourable)	Expressed in all	Expressed in all	NA	testis: 35.1
